Code,Title,Content,Age,Gender,Grade,Brothers,Sisters,Group,Score_CM
8961,Freedom,"Freedom is just like an opportunity for ourselves
Freedom is everything that people wish to have it
No forcing, no custody for anyone
Like a bird is flying
They can fly everywhere and they are happy of their freedom
Like a fish that can swim in the ocean, they can swim everywhere
People and animals are need freedom because freedom can make them reach their goals
I also need freedom because I want to do whatever I wanted
Go for a walk, eat something or learn what I want to learn.",17,f,12,0,1,b,3
9058,Freedom,"Freedom is a special power that all the people want it
The power that they can do anything that they want to do
When we have freedom, we can set our goals
Freedom is an education foundation, your ideas
Make people know what is wrong and what is right
It is also a connection between one person to other
It is a power that make people struggle for their life
Freedom makes us happy and we can complete our job successfully
There is no threating, cheating from the people around us
We have power to live a happy life.",19,M ,11,2,1,c,4
9150,The bird and the cage,"The bird and the cage are not friends
The cage is just like the human that always like to control
Birds have freedom and they can fly everywhere
Bird cannot always be in the cage
They cannot control or stop the other bird to stop flying
The birds are in the cage don’t have freedom and they cannot go out and get food
Birds love freedom, they can fly and they don’t want people keep them in the cage",16,f,10,0,2,b,3.25
9172,Freedom,"People in this world are always wants freedom, animals are also need freedom
Freedom is a word that everyone wants it, it is just like a very long road without ending and huge
Freedom is just like a new life and we want it
Only education that can make you have a freedom
When you are educated, the freedom is not far from you
We can change the foundation that people already made it
Education is what your brain wants and freedom is what your heart wants
The road can’t move but freedom can
Do not try to use freedom to do something that useless
Don’t only follow someone else’s idea, you should follow your heart
You might think that ocean is deep but freedom is deeper",15,F ,10,1,1,c,4
9208,Freedom,"We go to school, we try to study
We continue to study more at home and remember more
After we finished our lesson, we like to help parents
Use the energy to help them and do not sleep and go for a walk
People will praise you that you are a good kid
Good kid will help and listen to their family
If you only sleep and go out, it is not good for your future.",20,F ,10,2,1,c,3.625
9384,Freedom,"All the people need and wish for freedom
You can play as you wish and we don’t want the other control us
Freedom is a wonderful right especially for the children
We can go anywhere, relax everywhere
Do the strange thing that you have never done before
We can do what we want to do but don’t against the law
If you are always having freedom, you might not sad and you don’t have to sit and keep thinking
So, everyone needs freedom.",17,M ,10,1,3,b,
9442,Freedom,"The bird is flying in the sky
The fish are swimming in the water
They are really happy because they can do what they wanted to do
Being a human, you should open mind and don’t believe what other people say
You should have you own goal
Commit to be brave to against the obstacles
Do whatever you think is right and don’t live under pressure from the other
Achieve your goals and believe in yourself
Learn about the world and look at this beautiful world.",16,m,10,0,4,b,
9449,Freedom,"People are always having problems
But when you try to do it even you are getting tired
When you finished it we will not afraid anymore
Our freedom, we can go anywhere
No problem anymore
Have more free time and you can talk to your family, friends and your siblings
We will happy all the time
We are happy with our family in the future
 ",13,M ,6,0,1,b,3.375
9499,Freedom to be Free,"The joy of life and be happy
Freedom to be free
Enjoying your life and do not need to be free
Freedom to be free
We were born in democracy
Flowers are going to be grows
Fish are going to be catch
The sun gleaming in the sky
Rocks are going to be thrown
Enjoy the life, the one that you own
Fly high like you’ve never been before
The sun is raising
Time for a fresh start
The lights are shining
Peace
Happiness
Ahh, freedom
Freedom to be free.",16,f,10,1,1,c,
9507,Praising,"We all need to praise ourselves
Praising yourself is make you happy
Be a good person and the other people will praise you
Doing a good thing, people will praise you
Sometime we should not wait of other people to praise us
We should praise ourselves first
He is a good guy that is why people praising him
Because everyone has their own goal
Be a good person and do a good thing people will praise you
Do not wait until the other people praise you, you should praise yourself
Do the good things.",,,,,,c,2
9515,Everyone's freedom,"Life is always having a trap
A difficult life is a curse, it is very difficult to go anywhere
A student life even you try so hard but it is still difficult to describe
Try and try since we were like the blank paper
Try so hard to study to become a well-educated person
Try to study very hard until finish the high school
We try until we get a job
Develop ourself and create the freedom in our life
If you are already achieving your goal you can go wherever you wanted to go
Create freedom for yourself as much as you can.",16,F ,10,1,2,a,3.625
9687,Freedom is yours,"Freedom means free
Freedom means able to do all the things that you want for a better version of their life
Traveling, study or be a star
Whoever you are, whatever it is
Decide by your own, all what you want
Go on beyond with all your choices
Don’t let someone set up your life
Because you are a bright star in the sky
Remember all of these in your mind
Freedom is yours; freedom is ours.",17,f,12,1,2,c,
9769,,"Everyone has different ideas for choosing something that they like
It is our freedom even we choose different thing
But the ideas are from us
There is no oppressing and no one control us
Everything is our freedom
Please remember that your decisions are your rights",17,F ,10,1,1,c,3.875
9896,Freedom,"Freedom is mean that no one can control you
Freedom is a happy thing that people want
I also want a freedom
The birds are flying without worrying
No one hate freedom
Freedom makes us happy
When we have freedom, we won’t think about the sad things anymore
Everyone wants freedom
Like a fish when they grow up, they can go and find food by themselves and for their mum
Free yourself
Go and find the food
Live independently
Protect yourself
Don’t depend on the other
Freedom teaches you how to walk on the right way that you’ve chosen
Be strong and brave.",17,f,11,1,2,c,3.5
6702,Freedom,"Freedom is releasing yourself the chained
Don’t chained like prisoner
Do what you like to do
You should walk on the way that you choose, don’t depend on the other
Because it is your future, please try to achieve it
Life is always meet problems, you should fight for it
Find the solutions to solve the problems
Your independent is your strength and make you happy
You should accept what you did even it was good or bad
Love what you have is better than jealousy.
 ",15,M ,8,2,2,b,3.25
