,new_code,Code,Code_lower,Count_lower,Title,Title_lower,Year_of_workshop,quarter,Org,Country,Big_Idea,age,gender,Repeat,Notes,content,Content1,Content2,RIGHT
237,237,1193,1193,1,I Love Money,i love money,2017,0,Sala Bai,Cambodia,Change,0,,1,"Front office, beauty and restaurant students","i love my mother and sister 
i’m trying to study for them 
they help me a lot 
when i finish sala bai 
i’ll get a job 
i’m so happy 
when i have money 
i will help my 
family. i want to study 
at university. when i 
study i feel very happy with 
my best friends. 
i have a lot of money i will be 
so happy and i will buy 
a lot of things 
i need money","i love my mother and sister 
i’m trying to study for them 
they help me a lot 
when i finish sala bai 
i’ll get a job 
i’m so happy 
when i have money 
i will help my 
family. i want to study 
at university. when i 
study i feel very happy with 
my best friends. 
i have a lot of money i will be 
so happy and i will buy 
a lot of things 
i need money","i love my mother and sister 
i’m trying to study for them 
they help me a lot 
when i finish sala bai 
i’ll get a job 
i’m so happy 
when i have money 
i will help my 
family. i want to study 
at university. when i 
study i feel very happy with 
my best friends. 
i have a lot of money i will be 
so happy and i will buy 
a lot of things 
i need money",1
238,238,1896,1896,1,A Lovely Family,a lovely family,2017,0,Sala Bai,Cambodia,Change,0,,1,"Front office, beauty and restaurant students","when i was young i liked plans to picnic. 
when i’m adult my mom and dad bring to to school. 
after school find job to make money and then 
i bring my family to visit around the world and i have 
a boyfriend. we are excited to be married. my family 
is very happy and makes me feel surprised because this was my 
dream. 
after we have a baby. my baby is very lovely 
but we need more money for children and big house. 
need more money to buy rice in the market. old people have a 
lot. need more money when old because after growing up old 
people have no energy. 
my house has a garden, dog, cat, big tree. 
i love my family 
money and time is very 
important.","when i was young i liked plans to picnic. 
when i’m adult my mom and dad bring to to school. 
after school find job to make money and then 
i bring my family to visit around the world and i have 
a boyfriend. we are excited to be married. my family 
is very happy and makes me feel surprised because this was my 
dream. 
after we have a baby. my baby is very lovely 
but we need more money for children and big house. 
need more money to buy rice in the market. old people have a 
lot. need more money when old because after growing up old 
people have no energy. 
my house has a garden, dog, cat, big tree. 
i love my family 
money and time is very 
important.","when i was young i liked plans to picnic. 
when i’m adult my mom and dad bring to to school. 
after school find job to make money and then 
i bring my family to visit around the world and i have 
a boyfriend. we are excited to be married. my family 
is very happy and makes me feel surprised because this was my 
dream. 
after we have a baby. my baby is very lovely 
but we need more money for children and big house. 
need more money to buy rice in the market. old people have a 
lot. need more money when old because after growing up old 
people have no energy. 
my house has a garden, dog, cat, big tree. 
i love my family 
money and time is very 
important.",1
239,239,8012,8012,1,Life is Changed,life is changed,2017,0,Sala Bai,Cambodia,Change,0,,1,"Front office, beauty and restaurant students","i like english 
i want to talk with guests 
my english is not good 
but 
my teacher says i speak english 
very good 
i love my teacher and all my friends 
in sala bai 
when i finish sala bai i want to work 
in the hotel 
when i finish my lessons i went to accommodations 
i saw my best friend on the way 
i love reading english books 
i love my family 
i want to get a good job 
they’re my best friends. 
i learn at sala bai i am very happy.","i like english 
i want to talk with guests 
my english is not good 
but 
my teacher says i speak english 
very good 
i love my teacher and all my friends 
in sala bai 
when i finish sala bai i want to work 
in the hotel 
when i finish my lessons i went to accommodations 
i saw my best friend on the way 
i love reading english books 
i love my family 
i want to get a good job 
they’re my best friends. 
i learn at sala bai i am very happy.","i like english 
i want to talk with guests 
my english is not good 
but 
my teacher says i speak english 
very good 
i love my teacher and all my friends 
in sala bai 
when i finish sala bai i want to work 
in the hotel 
when i finish my lessons i went to accommodations 
i saw my best friend on the way 
i love reading english books 
i love my family 
i want to get a good job 
they’re my best friends. 
i learn at sala bai i am very happy.",1
240,240,6330,6330,1,I Want to Have a Good Job,i want to have a good job,2017,0,Sala Bai,Cambodia,Change,0,,1,"Front office, beauty and restaurant students","i like sala bai. 
i am very happy 
i like to study english 
i love my family 
i like teachers at sala bai 
i like restaurant 
i speak english with guest a little. 
i like my friends at sala bai 
i finish sala bai 
i get job 
i like songs 
i meet my family 
i have a lot of money 
i will visit with my family 
i like reading books and eating in my free time 
i speak a lot of english","i like sala bai. 
i am very happy 
i like to study english 
i love my family 
i like teachers at sala bai 
i like restaurant 
i speak english with guest a little. 
i like my friends at sala bai 
i finish sala bai 
i get job 
i like songs 
i meet my family 
i have a lot of money 
i will visit with my family 
i like reading books and eating in my free time 
i speak a lot of english","i like sala bai. 
i am very happy 
i like to study english 
i love my family 
i like teachers at sala bai 
i like restaurant 
i speak english with guest a little. 
i like my friends at sala bai 
i finish sala bai 
i get job 
i like songs 
i meet my family 
i have a lot of money 
i will visit with my family 
i like reading books and eating in my free time 
i speak a lot of english",1
241,241,8739,8739,1,Flowers are Important to Me,flowers are important to me,2017,0,Sala Bai,Cambodia,Change,0,,1,"Front office, beauty and restaurant students","i like flowers 
flowers are beautiful 
i give a flower to my friend 
my friend likes flowers the same as me 
i see a lot of flowers in the market 
i get a lot of money and i go to buy something i like 
when i have a lot of money i can go to study at university 
i finish at university and i will be an english teacher 
i teach the students * my students are lovely 
all my students are smart * every day i go to teach english 
i speak english fluently * i speak english with foreigners 
foreigners praise me","i like flowers 
flowers are beautiful 
i give a flower to my friend 
my friend likes flowers the same as me 
i see a lot of flowers in the market 
i get a lot of money and i go to buy something i like 
when i have a lot of money i can go to study at university 
i finish at university and i will be an english teacher 
i teach the students * my students are lovely 
all my students are smart * every day i go to teach english 
i speak english fluently * i speak english with foreigners 
foreigners praise me","i like flowers 
flowers are beautiful 
i give a flower to my friend 
my friend likes flowers the same as me 
i see a lot of flowers in the market 
i get a lot of money and i go to buy something i like 
when i have a lot of money i can go to study at university 
i finish at university and i will be an english teacher 
i teach the students * my students are lovely 
all my students are smart * every day i go to teach english 
i speak english fluently * i speak english with foreigners 
foreigners praise me",1
242,242,2908,2908,1,The World is Very Big,the world is very big,2017,0,Sala Bai,Cambodia,Change,0,,1,"Front office, beauty and restaurant students","the stars in the sky i try never to stop 
the world is very big i hope forever 
i walk on the way 
the way is very long 
i sing a song for my life i walk step by step 
the planet is beautiful i want to say i love my family 
i stand up on the world 
with a lot of people 
i am never lonely i want to live on the sky 
i am drinking water i need small house for my life 
i want to have a good job 
i am thinking about the future 
when i have a lot of money i want to speak english 
i will buy a cat i eat to live 
but i don’t live to eat 
i will go away lonely 
i smile when i’m happy but sometimes why 
and i cry when i’m sad i cry when i’m happy 
i want to say goodbye to my stress!","the stars in the sky i try never to stop 
the world is very big i hope forever 
i walk on the way 
the way is very long 
i sing a song for my life i walk step by step 
the planet is beautiful i want to say i love my family 
i stand up on the world 
with a lot of people 
i am never lonely i want to live on the sky 
i am drinking water i need small house for my life 
i want to have a good job 
i am thinking about the future 
when i have a lot of money i want to speak english 
i will buy a cat i eat to live 
but i don’t live to eat 
i will go away lonely 
i smile when i’m happy but sometimes why 
and i cry when i’m sad i cry when i’m happy 
i want to say goodbye to my stress!","the stars in the sky i try never to stop 
the world is very big i hope forever 
i walk on the way 
the way is very long 
i sing a song for my life i walk step by step 
the planet is beautiful i want to say i love my family 
i stand up on the world 
with a lot of people 
i am never lonely i want to live on the sky 
i am drinking water i need small house for my life 
i want to have a good job 
i am thinking about the future 
when i have a lot of money i want to speak english 
i will buy a cat i eat to live 
but i don’t live to eat 
i will go away lonely 
i smile when i’m happy but sometimes why 
and i cry when i’m sad i cry when i’m happy 
i want to say goodbye to my stress!",1
243,243,9090,9090,1,English Becomes a Good Job,english becomes a good job,2017,0,Sala Bai,Cambodia,Change,0,,1,"Front office, beauty and restaurant students","i love my family 
my mother likes apples 
my father likes mango 
i often ride bicycles with my friends everyday 
when i study english i can speak english 
with other guests 
i like to go to market with my friends when i have 
a lot of money 
when i finish at sala bai i will get a good job 
i like fishing 
i love my friends at sala bai 
my teachers at sala bai are so beautiful and handsome 
the food is very important 
all people can’t live without water 
i like restaurants because i am 
studying in the restaurant department 
i always go to eat dessert with my friends everyday 
the guests always come to eat lunch at sala bai 
every day 
i can get a good salary to support my family 
i like to sing songs 
my friends are friendly and kind","i love my family 
my mother likes apples 
my father likes mango 
i often ride bicycles with my friends everyday 
when i study english i can speak english 
with other guests 
i like to go to market with my friends when i have 
a lot of money 
when i finish at sala bai i will get a good job 
i like fishing 
i love my friends at sala bai 
my teachers at sala bai are so beautiful and handsome 
the food is very important 
all people can’t live without water 
i like restaurants because i am 
studying in the restaurant department 
i always go to eat dessert with my friends everyday 
the guests always come to eat lunch at sala bai 
every day 
i can get a good salary to support my family 
i like to sing songs 
my friends are friendly and kind","i love my family 
my mother likes apples 
my father likes mango 
i often ride bicycles with my friends everyday 
when i study english i can speak english 
with other guests 
i like to go to market with my friends when i have 
a lot of money 
when i finish at sala bai i will get a good job 
i like fishing 
i love my friends at sala bai 
my teachers at sala bai are so beautiful and handsome 
the food is very important 
all people can’t live without water 
i like restaurants because i am 
studying in the restaurant department 
i always go to eat dessert with my friends everyday 
the guests always come to eat lunch at sala bai 
every day 
i can get a good salary to support my family 
i like to sing songs 
my friends are friendly and kind",1
244,244,1795,1795,1,The Job is my Life,the job is my life,2017,0,Sala Bai,Cambodia,Change,0,,1,"Front office, beauty and restaurant students","i like studying english at sala bai 
i like the restaurant department 
i want to speak english 
with guests because 
i can speak english 
a little 
when i finish 
from school i want to go 
work at a hotel 
i work hard because the salary is good for me 
when i have a lot of experience 
i want to support my family 
my family is very happy 
i have a good job 
i feel very happy when i go home 
because i want to help my family","i like studying english at sala bai 
i like the restaurant department 
i want to speak english 
with guests because 
i can speak english 
a little 
when i finish 
from school i want to go 
work at a hotel 
i work hard because the salary is good for me 
when i have a lot of experience 
i want to support my family 
my family is very happy 
i have a good job 
i feel very happy when i go home 
because i want to help my family","i like studying english at sala bai 
i like the restaurant department 
i want to speak english 
with guests because 
i can speak english 
a little 
when i finish 
from school i want to go 
work at a hotel 
i work hard because the salary is good for me 
when i have a lot of experience 
i want to support my family 
my family is very happy 
i have a good job 
i feel very happy when i go home 
because i want to help my family",1
245,245,3877,3877,1,Happy Happy for Me,happy happy for me,2017,0,Sala Bai,Cambodia,Change,0,,1,"Front office, beauty and restaurant students","i like apples and mangoes 
apples are beautiful 
i love my family and job 
i’m smiling and my friends are sleeping 
we are learning computer 
we are learning in the classroom 
i like making up 
i don’t like being sad 
i’m learning how to speak english","i like apples and mangoes 
apples are beautiful 
i love my family and job 
i’m smiling and my friends are sleeping 
we are learning computer 
we are learning in the classroom 
i like making up 
i don’t like being sad 
i’m learning how to speak english","i like apples and mangoes 
apples are beautiful 
i love my family and job 
i’m smiling and my friends are sleeping 
we are learning computer 
we are learning in the classroom 
i like making up 
i don’t like being sad 
i’m learning how to speak english",1
246,246,9347,9347,1,Money is my Hope,money is my hope,2017,0,Sala Bai,Cambodia,Change,0,,1,"Front office, beauty and restaurant students","i came first at sala bai 
i would not speak english 
i love learning english 
because i want to know english 
and want to work at hotel 
i’m leaning restaurant for myself 
i’m happy to study with teachers 
and my friends in the classroom. 
my friends are very friendly. 
we smile when we study hard. 
i am trying. i want to have 
a lot of money. 
i’ll give to my family. i want to 
study at university. buy motorbike and give 
to my sister. buy a lot of things. 
i want a new house for my 
family 
i love money","i came first at sala bai 
i would not speak english 
i love learning english 
because i want to know english 
and want to work at hotel 
i’m leaning restaurant for myself 
i’m happy to study with teachers 
and my friends in the classroom. 
my friends are very friendly. 
we smile when we study hard. 
i am trying. i want to have 
a lot of money. 
i’ll give to my family. i want to 
study at university. buy motorbike and give 
to my sister. buy a lot of things. 
i want a new house for my 
family 
i love money","i came first at sala bai 
i would not speak english 
i love learning english 
because i want to know english 
and want to work at hotel 
i’m leaning restaurant for myself 
i’m happy to study with teachers 
and my friends in the classroom. 
my friends are very friendly. 
we smile when we study hard. 
i am trying. i want to have 
a lot of money. 
i’ll give to my family. i want to 
study at university. buy motorbike and give 
to my sister. buy a lot of things. 
i want a new house for my 
family 
i love money",1
247,247,5964,5964,1,MY LIFE IS DIFFICULT,my life is difficult,2017,0,Sala Bai,Cambodia,Change,0,,1,"Front office, beauty and restaurant students","i am 
studying in the classroom 
i like to study english 
i can speak english 
i go home at five o’ clock 
when 
i arrive at home i look 
at a story and then i eat rice 
when i eat rice it makes me grow up 
i can find a good job 
i have a lot of money 
i can support my family, my parents are old. 
my parents love me, when they get old 
they get sick a lot, they can’t run very fast 
they can’t remember. i can find a lot of money 
money makes my family happy 
money can buy everything 
i work at siem reap province 
i can speak english with guests 
english helps me have 
a good job","i am 
studying in the classroom 
i like to study english 
i can speak english 
i go home at five o’ clock 
when 
i arrive at home i look 
at a story and then i eat rice 
when i eat rice it makes me grow up 
i can find a good job 
i have a lot of money 
i can support my family, my parents are old. 
my parents love me, when they get old 
they get sick a lot, they can’t run very fast 
they can’t remember. i can find a lot of money 
money makes my family happy 
money can buy everything 
i work at siem reap province 
i can speak english with guests 
english helps me have 
a good job","i am 
studying in the classroom 
i like to study english 
i can speak english 
i go home at five o’ clock 
when 
i arrive at home i look 
at a story and then i eat rice 
when i eat rice it makes me grow up 
i can find a good job 
i have a lot of money 
i can support my family, my parents are old. 
my parents love me, when they get old 
they get sick a lot, they can’t run very fast 
they can’t remember. i can find a lot of money 
money makes my family happy 
money can buy everything 
i work at siem reap province 
i can speak english with guests 
english helps me have 
a good job",1
248,248,1685,1685,1,Our Future,our future,2017,0,Sala Bai,Cambodia,Change,0,,1,"Front office, beauty and restaurant students","now 
i am studying english. buy in five years more i can 
speak english very well and i have a good job in my 
future 
i love flowers because they are beautiful. in the future 
i want to have a good job. when the sun rises it is 
good 
i am happy when i went to study at sala bai 
when i live here i miss my family so much 
two months 
more i can go to meet my family. sala bai 
is fantastic for me and for us. 
sala bai 
has a lot of students studying. sala bai is good in the 
future, all people want to have a lot of money 
i 
can support my family. i never thought i could study 
at sala bai. english is very important for all people in 
the world 
i don’t forget sala bai forever in my life.","now 
i am studying english. buy in five years more i can 
speak english very well and i have a good job in my 
future 
i love flowers because they are beautiful. in the future 
i want to have a good job. when the sun rises it is 
good 
i am happy when i went to study at sala bai 
when i live here i miss my family so much 
two months 
more i can go to meet my family. sala bai 
is fantastic for me and for us. 
sala bai 
has a lot of students studying. sala bai is good in the 
future, all people want to have a lot of money 
i 
can support my family. i never thought i could study 
at sala bai. english is very important for all people in 
the world 
i don’t forget sala bai forever in my life.","now 
i am studying english. buy in five years more i can 
speak english very well and i have a good job in my 
future 
i love flowers because they are beautiful. in the future 
i want to have a good job. when the sun rises it is 
good 
i am happy when i went to study at sala bai 
when i live here i miss my family so much 
two months 
more i can go to meet my family. sala bai 
is fantastic for me and for us. 
sala bai 
has a lot of students studying. sala bai is good in the 
future, all people want to have a lot of money 
i 
can support my family. i never thought i could study 
at sala bai. english is very important for all people in 
the world 
i don’t forget sala bai forever in my life.",1
249,249,8147,8147,1,I love all Teachers at Sala Bai,i love all teachers at sala bai,2017,0,Sala Bai,Cambodia,Change,0,,1,"Front office, beauty and restaurant students","i love my mother. my mother loves me. 
my family loves me too. 
i want to learn english. english helps me 
have a good life. 
i can’t speak english before i learn at 
sala bai. i can speak english when i learn 
at sala bai. 
my teacher, mr. sna, is very nice because he 
teaches very well. 
i never met a teacher like this 
i’m very happy to learn with him 
i love all teachers at sala bai 
i will not forget any teacher at sala bai 
sala bai helps all students have a good future. 
teachers at sala bai are very friendly and 
very kind.","i love my mother. my mother loves me. 
my family loves me too. 
i want to learn english. english helps me 
have a good life. 
i can’t speak english before i learn at 
sala bai. i can speak english when i learn 
at sala bai. 
my teacher, mr. sna, is very nice because he 
teaches very well. 
i never met a teacher like this 
i’m very happy to learn with him 
i love all teachers at sala bai 
i will not forget any teacher at sala bai 
sala bai helps all students have a good future. 
teachers at sala bai are very friendly and 
very kind.","i love my mother. my mother loves me. 
my family loves me too. 
i want to learn english. english helps me 
have a good life. 
i can’t speak english before i learn at 
sala bai. i can speak english when i learn 
at sala bai. 
my teacher, mr. sna, is very nice because he 
teaches very well. 
i never met a teacher like this 
i’m very happy to learn with him 
i love all teachers at sala bai 
i will not forget any teacher at sala bai 
sala bai helps all students have a good future. 
teachers at sala bai are very friendly and 
very kind.",1
250,250,3743,3743,1,I Love my Family and my Friends,i love my family and my friends,2017,0,Sala Bai,Cambodia,Change,0,,1,"Front office, beauty and restaurant students","i’m from f & b department 
i love my family 
i learn to speak english 
don’t touch me 
i like eating tragon 
they are playing football 
we go to study at sala bai hotel school 
i make my family very happy 
my friend is beautiful and handsome 
my friends are tall and short 
i go to bed at 9 o’clock 
they go to study at 7 o’clock 
we are reading books and learning computer 
it is a dog 
all teachers at sala bai are very kind and friendly 
my mom is kind. my mom is very strong. 
i will get a good job at sala bai 
they go shopping every day 
i like reading english 
we are happy 
khmer new year","i’m from f & b department 
i love my family 
i learn to speak english 
don’t touch me 
i like eating tragon 
they are playing football 
we go to study at sala bai hotel school 
i make my family very happy 
my friend is beautiful and handsome 
my friends are tall and short 
i go to bed at 9 o’clock 
they go to study at 7 o’clock 
we are reading books and learning computer 
it is a dog 
all teachers at sala bai are very kind and friendly 
my mom is kind. my mom is very strong. 
i will get a good job at sala bai 
they go shopping every day 
i like reading english 
we are happy 
khmer new year","i’m from f & b department 
i love my family 
i learn to speak english 
don’t touch me 
i like eating tragon 
they are playing football 
we go to study at sala bai hotel school 
i make my family very happy 
my friend is beautiful and handsome 
my friends are tall and short 
i go to bed at 9 o’clock 
they go to study at 7 o’clock 
we are reading books and learning computer 
it is a dog 
all teachers at sala bai are very kind and friendly 
my mom is kind. my mom is very strong. 
i will get a good job at sala bai 
they go shopping every day 
i like reading english 
we are happy 
khmer new year",1
251,251,8999,8999,1,My Dream,my dream,2017,a,Sala Bai,Cambodia,Change,19,,1,"Front office, beauty and restaurant students","my name chanthorn and i’m 19 years old 
sometimes i drink hot water 
i always to go school at seven o’clock 
i want to eat khmer food 
i want to be a sales manager 
i want to speak chinese 
my teacher always smile 
i love my school 
i have five glasses in my house 
i don’t like drink beer and coffee 
i like to visit angkor wat 
i never eat wine 
i love my classmates 
i love cambodia 
i am a student at sala baï hotel school 
there are eight lamps in my classroom 
i want to meet my sister 
i like my classroom 
i love my family 
i always smile 
there are a lot of flowers around my house 
my brother wants to swim at kom pong som 
sometimes i make a lot of mistakes 
tomorrow i want to go to market 
i miss my family","my name chanthorn and i’m 19 years old 
sometimes i drink hot water 
i always to go school at seven o’clock 
i want to eat khmer food 
i want to be a sales manager 
i want to speak chinese 
my teacher always smile 
i love my school 
i have five glasses in my house 
i don’t like drink beer and coffee 
i like to visit angkor wat 
i never eat wine 
i love my classmates 
i love cambodia 
i am a student at sala baï hotel school 
there are eight lamps in my classroom 
i want to meet my sister 
i like my classroom 
i love my family 
i always smile 
there are a lot of flowers around my house 
my brother wants to swim at kom pong som 
sometimes i make a lot of mistakes 
tomorrow i want to go to market 
i miss my family","my name chanthorn and i’m 19 years old 
sometimes i drink hot water 
i always to go school at seven o’clock 
i want to eat khmer food 
i want to be a sales manager 
i want to speak chinese 
my teacher always smile 
i love my school 
i have five glasses in my house 
i don’t like drink beer and coffee 
i like to visit angkor wat 
i never eat wine 
i love my classmates 
i love cambodia 
i am a student at sala baï hotel school 
there are eight lamps in my classroom 
i want to meet my sister 
i like my classroom 
i love my family 
i always smile 
there are a lot of flowers around my house 
my brother wants to swim at kom pong som 
sometimes i make a lot of mistakes 
tomorrow i want to go to market 
i miss my family",1
252,252,3011,3011,1,My Free Time at School,my free time at school,2017,a,Sala Bai,Cambodia,Change,0,,1,"Front office, beauty and restaurant students","i don’t like swimming 
today i go to school at 6 o’clock 
yesterday i met my family at bantea menchay 
tomorrow i’m going to sala baï study front office 
my friends go to the holiday with family 
the teacher drinks the water 
now i am studying hospitality 
my brother opens the lamp 
i study already at 5 p.m. 
but study english at 6 o’clock 
i like to play guitar","i don’t like swimming 
today i go to school at 6 o’clock 
yesterday i met my family at bantea menchay 
tomorrow i’m going to sala baï study front office 
my friends go to the holiday with family 
the teacher drinks the water 
now i am studying hospitality 
my brother opens the lamp 
i study already at 5 p.m. 
but study english at 6 o’clock 
i like to play guitar","i don’t like swimming 
today i go to school at 6 o’clock 
yesterday i met my family at bantea menchay 
tomorrow i’m going to sala baï study front office 
my friends go to the holiday with family 
the teacher drinks the water 
now i am studying hospitality 
my brother opens the lamp 
i study already at 5 p.m. 
but study english at 6 o’clock 
i like to play guitar",1
253,253,9120,9120,1,Life of Light,life of light,2017,a,Sala Bai,Cambodia,Change,0,,1,"Front office, beauty and restaurant students","i very much miss my family 
at my homeland. 
i left my home eight years 
ago. 
so, now i want to live with 
my parents again. 
i always play football every 
weekend. 
sometimes i want to go 
for a walk, 
i like to listen to 
popular music. 
i am good at listening but 
i can’t speak. 
i like to eat so much but 
i can’t cook. 
i want to have a beautiful girl 
living with me. 
i really want to work in 
the hospitality. 
i run faster than my 
friends. 
my teacher is like 
my mother. 
trees are very important 
for people. 
i give up smoking drinking. 
so i am a good boy. 
i am not perfect but i’m a 
good boy also. 
good luck","i very much miss my family 
at my homeland. 
i left my home eight years 
ago. 
so, now i want to live with 
my parents again. 
i always play football every 
weekend. 
sometimes i want to go 
for a walk, 
i like to listen to 
popular music. 
i am good at listening but 
i can’t speak. 
i like to eat so much but 
i can’t cook. 
i want to have a beautiful girl 
living with me. 
i really want to work in 
the hospitality. 
i run faster than my 
friends. 
my teacher is like 
my mother. 
trees are very important 
for people. 
i give up smoking drinking. 
so i am a good boy. 
i am not perfect but i’m a 
good boy also. 
good luck","i very much miss my family 
at my homeland. 
i left my home eight years 
ago. 
so, now i want to live with 
my parents again. 
i always play football every 
weekend. 
sometimes i want to go 
for a walk, 
i like to listen to 
popular music. 
i am good at listening but 
i can’t speak. 
i like to eat so much but 
i can’t cook. 
i want to have a beautiful girl 
living with me. 
i really want to work in 
the hospitality. 
i run faster than my 
friends. 
my teacher is like 
my mother. 
trees are very important 
for people. 
i give up smoking drinking. 
so i am a good boy. 
i am not perfect but i’m a 
good boy also. 
good luck",1
254,254,5823,5823,1,Lovely Girl,lovely girl,2017,a,Sala Bai,Cambodia,Change,0,,1,"Front office, beauty and restaurant students","when i train i’m very happy, 
my teacher is in the office. 
sometimes i’m very sad. 
my teacher is very friendly and kind. 
i want to eat banana. 
i like to play football, 
i get up late. 
i ride bicycle to go to school every day, 
i love my teacher, and i love my family too. 
now i am very happy to study with lucia and selin. 
i want to visit angkor wat, 
i make my smile for people around me. 
my mother cooks food every day for me. 
i like to cook food, 
my mother doesn’t look like me. 
i very much miss my family, 
in the sala baï the food is delicious 
the best for me. 
thanks sala baï, is a beautiful day for me.","when i train i’m very happy, 
my teacher is in the office. 
sometimes i’m very sad. 
my teacher is very friendly and kind. 
i want to eat banana. 
i like to play football, 
i get up late. 
i ride bicycle to go to school every day, 
i love my teacher, and i love my family too. 
now i am very happy to study with lucia and selin. 
i want to visit angkor wat, 
i make my smile for people around me. 
my mother cooks food every day for me. 
i like to cook food, 
my mother doesn’t look like me. 
i very much miss my family, 
in the sala baï the food is delicious 
the best for me. 
thanks sala baï, is a beautiful day for me.","when i train i’m very happy, 
my teacher is in the office. 
sometimes i’m very sad. 
my teacher is very friendly and kind. 
i want to eat banana. 
i like to play football, 
i get up late. 
i ride bicycle to go to school every day, 
i love my teacher, and i love my family too. 
now i am very happy to study with lucia and selin. 
i want to visit angkor wat, 
i make my smile for people around me. 
my mother cooks food every day for me. 
i like to cook food, 
my mother doesn’t look like me. 
i very much miss my family, 
in the sala baï the food is delicious 
the best for me. 
thanks sala baï, is a beautiful day for me.",1
255,255,5194,5194,1,Don’t Give Up,don’t give up,2017,a,Sala Bai,Cambodia,Change,0,,1,"Front office, beauty and restaurant students","today i have to go to the hotel 
it is the first day for my internship 
i get up early to take shower and get dressed 
i leave my home at 5 o’clock in the morning. 
i start to work at 6 o’clock and 
everything is very difficult. 
i have a lot of mistakes 
i feel not good and i don’t want to do it again. 
when i come back home i want to cry 
but i’m shy if somebody looks at me 
i want to go back home but when i 
think and think if i go mean i’m 
not strong and lost. 
at night before i sleep i think everything will be better tomorrow. 
the day after in the morning when i 
get up and before i take a shower 
i look at the water i see my face 
and i smile, i tell myself every 
thing is ok if i smile and open my 
mind and still have hope. 
show everyone the abilities you 
have don’t worry and keep calm. 
no one is perfect 
try to do something possible. 
always smile and smile. 
try and try","today i have to go to the hotel 
it is the first day for my internship 
i get up early to take shower and get dressed 
i leave my home at 5 o’clock in the morning. 
i start to work at 6 o’clock and 
everything is very difficult. 
i have a lot of mistakes 
i feel not good and i don’t want to do it again. 
when i come back home i want to cry 
but i’m shy if somebody looks at me 
i want to go back home but when i 
think and think if i go mean i’m 
not strong and lost. 
at night before i sleep i think everything will be better tomorrow. 
the day after in the morning when i 
get up and before i take a shower 
i look at the water i see my face 
and i smile, i tell myself every 
thing is ok if i smile and open my 
mind and still have hope. 
show everyone the abilities you 
have don’t worry and keep calm. 
no one is perfect 
try to do something possible. 
always smile and smile. 
try and try","today i have to go to the hotel 
it is the first day for my internship 
i get up early to take shower and get dressed 
i leave my home at 5 o’clock in the morning. 
i start to work at 6 o’clock and 
everything is very difficult. 
i have a lot of mistakes 
i feel not good and i don’t want to do it again. 
when i come back home i want to cry 
but i’m shy if somebody looks at me 
i want to go back home but when i 
think and think if i go mean i’m 
not strong and lost. 
at night before i sleep i think everything will be better tomorrow. 
the day after in the morning when i 
get up and before i take a shower 
i look at the water i see my face 
and i smile, i tell myself every 
thing is ok if i smile and open my 
mind and still have hope. 
show everyone the abilities you 
have don’t worry and keep calm. 
no one is perfect 
try to do something possible. 
always smile and smile. 
try and try",1
256,256,3275,3275,1,My Dream School,my dream school,2017,a,Sala Bai,Cambodia,Change,0,,1,"Front office, beauty and restaurant students","i 
love 
sala baï 
very much 
i never knew it 
before. it makes 
me know a lot about 
the life and makes me feel 
friendly with my friends like a smile. i 
never make mistakes. i think that no one is perfect. now 
my feeling is very good. at school i learn a lot 
and the teachers there are very 
helpful and friendly 
in one day i 
think i will 
come back 
to school 
it is 
very 
good","i 
love 
sala baï 
very much 
i never knew it 
before. it makes 
me know a lot about 
the life and makes me feel 
friendly with my friends like a smile. i 
never make mistakes. i think that no one is perfect. now 
my feeling is very good. at school i learn a lot 
and the teachers there are very 
helpful and friendly 
in one day i 
think i will 
come back 
to school 
it is 
very 
good","i 
love 
sala baï 
very much 
i never knew it 
before. it makes 
me know a lot about 
the life and makes me feel 
friendly with my friends like a smile. i 
never make mistakes. i think that no one is perfect. now 
my feeling is very good. at school i learn a lot 
and the teachers there are very 
helpful and friendly 
in one day i 
think i will 
come back 
to school 
it is 
very 
good",1
